ZONE T="boundary0"
-4 -0.618117 
-4 0.276526 
-4 0.30824 
-4 0.244812 
-4 0.429208 
-4 0.579236 
-4 1 
-4 -0.0418857 
-4 0.684427 
-4 -0.809058 
-4 -1 
-4 0.338482 
-4 0.0340465 
-4 0.107715 
-4 0.368724 
-4 -0.117818 
-4 0.181384 
-4 -0.343353 
-4 -0.430148 
-4 -0.524132 
-4 0.789618 
-4 0.213098 
-4 -0.256557 
-4 -0.221873 
-4 -0.152503 
-4 -0.187188 
-4 -0.299955 
-4 0.292383 
-4 0.504222 
-4 0.631832 
-4 0.323361 
-4 0.0708809 
-4 0.398966 
-4 -0.386751 
-4 -0.47714 
-4 -0.571125 
-4 0.737023 
-4 -0.904529 
-4 0.894809 
-4 -0.713588 
-4 0.197241 
-4 0.14455 
-4 0.228955 
-4 0.260669 
-4 -0.239215 
-4 -0.169845 
-4 -0.13516 
-4 -0.0798518 
-4 -0.00391959 
-4 -0.321654 
-4 -0.20453 
-4 -0.278256 
-4 0.353603 
ZONE T="boundary1"
-4 1 
-3.76009 1 
2.10285 1 
3.56676 1 
3.71118 1 
0.0926906 1 
0.166372 1 
0.240052 1 
-0.451902 1 
-0.596287 1 
3.26858 1 
1.56523 1 
1.82506 1 
0.0212761 1 
-0.829815 1 
-0.713051 1 
-3.18232 1 
-3.35125 1 
-3.52017 1 
-2.65867 1 
2.24174 1 
2.80727 1 
2.59395 1 
2.38064 1 
-2.9205 1 
-1.73985 1 
-1.526 1 
-2.00657 1 
-2.27329 1 
0.377352 1 
0.308702 1 
-0.137314 1 
-0.0501384 1 
-0.224489 1 
-0.338196 1 
0.46774 1 
0.887851 1 
0.820036 1 
1.0913 1 
0.955666 1 
0.558128 1 
-0.944706 1 
-1.0596 1 
3.85559 1 
4 1 
-1.31216 1 
-1.41908 1 
1.22004 1 
3.42235 1 
-1.18588 1 
1.34878 1 
3.11481 1 
1.457 1 
-1.87321 1 
0.689082 1 
0.623605 1 
-2.46598 1 
-3.88004 1 
3.63897 1 
0.129531 1 
0.203212 1 
-0.524095 1 
1.69515 1 
0.0569834 1 
-0.771433 1 
-3.43571 1 
2.4873 1 
1.96396 1 
-2.78958 1 
-1.63292 1 
-2.13993 1 
0.343027 1 
-0.180902 1 
-0.281343 1 
0.422546 1 
-0.0144312 1 
-0.0937262 1 
-0.395049 1 
-0.654669 1 
0.853943 1 
0.921758 1 
0.512934 1 
-1.00215 1 
-0.88726 1 
3.92779 1 
3.78338 1 
3.49456 1 
3.34547 1 
-1.24902 1 
-1.36562 1 
-1.47254 1 
3.1917 1 
1.40289 1 
-1.93989 1 
2.96104 1 
2.70061 1 
-3.05141 1 
2.1723 1 
2.31119 1 
0.274377 1 
0.754559 1 
0.590866 1 
0.656343 1 
1.02348 1 
-1.80653 1 
-2.36963 1 
-2.56233 1 
1.15567 1 
-1.12274 1 
1.28441 1 
-3.26678 1 
1.51112 1 
-3.64013 1 
ZONE T="boundary2"
4 -0.485715 
4 -0.378123 
4 -0.339059 
4 -0.299996 
4 0.362358 
4 0.418844 
4 -0.249052 
4 0.12291 
4 0.183664 
4 -0.69498 
4 -0.84749 
4 -0.198108 
4 -0.146102 
4 -0.0940962 
4 -0.0159702 
4 0.0621558 
4 0.532166 
4 0.305871 
4 0.244767 
4 0.645487 
4 0.822744 
4 1 
4 -1 
4 -0.590347 
4 -0.431919 
4 -0.319527 
4 0.390601 
4 0.153287 
4 -0.771235 
4 -0.22358 
4 -0.358591 
4 -0.274524 
4 -0.120099 
4 -0.0550332 
4 -0.172105 
4 0.0230928 
4 0.0925327 
4 0.214215 
4 0.475505 
4 0.734115 
4 0.588826 
4 0.911372 
4 -0.923745 
4 -0.538031 
4 0.334114 
4 -0.642664 
4 0.275319 
ZONE T="boundary3"
1.28583 -1 
1.43024 -1 
1.35803 -1 
-0.373941 -1 
-0.332033 -1 
0.547721 -1 
1.86244 -1 
2.01211 -1 
0.662308 -1 
0.780474 -1 
-0.206311 -1 
-1.06875 -1 
-0.665686 -1 
-4 -1 
-3.53096 -1 
3.05911 -1 
3.49587 -1 
-3.1894 -1 
-3.36018 -1 
-2.84784 -1 
2.63021 -1 
2.16097 -1 
-2.4401 -1 
-2.64397 -1 
-1.93069 -1 
-0.00641373 -1 
0.0562771 -1 
-0.290126 -1 
-0.0691046 -1 
-0.137708 -1 
0.149073 -1 
-0.614789 -1 
-0.859029 -1 
-0.76748 -1 
-0.950577 -1 
0.433134 -1 
0.241869 -1 
-1.29839 -1 
-1.18693 -1 
-1.55517 -1 
-1.40984 -1 
4 -1 
1.71277 -1 
1.11218 -1 
1.00541 -1 
0.89864 -1 
-1.7005 -1 
3.74794 -1 
-2.30049 -1 
2.30983 -1 
2.84466 -1 
0.337502 -1 
-0.468917 -1 
-0.563892 -1 
-2.16087 -1 
1.39414 -1 
-0.352987 -1 
1.93728 -1 
0.721391 -1 
-3.76548 -1 
3.27749 -1 
-3.27479 -1 
-2.54204 -1 
0.0249317 -1 
-0.248218 -1 
-0.31108 -1 
-0.103406 -1 
-0.640238 -1 
-0.813254 -1 
-0.904803 -1 
-1.00967 -1 
-3.44557 -1 
-1.24266 -1 
-1.35411 -1 
1.57151 -1 
1.32193 -1 
1.199 -1 
0.952025 -1 
1.0588 -1 
0.839557 -1 
0.605014 -1 
0.490427 -1 
-1.48251 -1 
-1.62784 -1 
3.87397 -1 
-1.81559 -1 
-3.01862 -1 
-2.3703 -1 
2.2354 -1 
2.08654 -1 
2.47002 -1 
1.78761 -1 
3.6219 -1 
-2.74591 -1 
2.95189 -1 
2.73744 -1 
0.102675 -1 
0.289685 -1 
0.195471 -1 
0.385318 -1 
-0.421429 -1 
-0.172009 -1 
-0.716583 -1 
-0.0377591 -1 
-0.589341 -1 
-0.516405 -1 
-2.23068 -1 
-2.04578 -1 
