ZONE T="boundary0"
-4 -0.462154 
-4 -0.153127 
-4 0.274291 
-4 0.237605 
-4 0.578412 
-4 1 
-4 -0.653831 
-4 -0.229755 
-4 -0.082892 
-4 -0.0126571 
-4 -0.268069 
-4 -0.306383 
-4 -0.346125 
-4 -0.385867 
-4 -0.538441 
-4 -0.76922 
-4 -1 
-4 0.449176 
-4 0.164231 
-4 0.200918 
-4 0.310978 
-4 0.513794 
-4 0.0757871 
-4 0.789206 
-4 0.683809 
-4 0.380077 
-4 0.345528 
-4 0.120009 
-4 0.255948 
-4 -0.191441 
-4 -0.118009 
-4 -0.0477745 
-4 -0.287226 
-4 -0.365996 
-4 -0.500297 
-4 -0.42401 
-4 -0.711525 
-4 -0.596136 
-4 -0.88461 
-4 0.182575 
-4 0.546103 
-4 0.894603 
-4 0.63111 
-4 0.736507 
-4 -0.248912 
-4 -0.326254 
-4 0.219261 
-4 0.362802 
-4 0.0978981 
-4 0.414626 
-4 0.481485 
-4 0.14212 
-4 0.031565 
-4 0.292635 
-4 0.328253 
ZONE T="boundary1"
1.80815 1 
1.62541 1 
1.99089 1 
-0.209824 1 
0.354859 1 
0.274649 1 
0.860369 1 
0.964792 1 
-0.291023 1 
0.435068 1 
0.604938 1 
0.520003 1 
0.0652538 1 
-0.918266 1 
-1.0279 1 
1.38183 1 
-3.54839 1 
1.13533 1 
-3.7742 1 
-4 1 
-2.80809 1 
-2.50232 1 
3.44164 1 
3.72082 1 
2.52664 1 
2.75237 1 
2.97809 1 
-3.36332 1 
-2.24838 1 
-1.99443 1 
0.202382 1 
0.130115 1 
0.73432 1 
0.00039281 1 
-0.128626 1 
-0.0641168 1 
-0.390754 1 
-0.490485 1 
-0.700062 1 
-0.595274 1 
1.25858 1 
1.05006 1 
-0.809164 1 
-1.24844 1 
-1.13753 1 
-1.35935 1 
4 1 
-3.17824 1 
-2.99317 1 
-1.81398 1 
-1.49644 1 
-1.63353 1 
2.25876 1 
2.3927 1 
3.20987 1 
1.71678 1 
0.314754 1 
0.912581 1 
0.56247 1 
-0.973082 1 
-3.8871 1 
-2.65521 1 
2.6395 1 
2.86523 1 
-3.45586 1 
-2.37535 1 
-2.1214 1 
0.0328233 1 
0.238516 1 
0.0976842 1 
0.166248 1 
-0.0963716 1 
0.669629 1 
0.797345 1 
-0.250424 1 
-0.340888 1 
-0.44062 1 
0.477536 1 
-0.647668 1 
1.3202 1 
1.19696 1 
1.0927 1 
1.00743 1 
1.50362 1 
-0.754613 1 
-1.19299 1 
-0.863715 1 
-1.08271 1 
-1.3039 1 
-3.27078 1 
1.89952 1 
-2.90063 1 
-1.9042 1 
-3.66129 1 
-1.56499 1 
-1.4279 1 
-3.08571 1 
2.12482 1 
-1.72376 1 
2.45967 1 
2.32573 1 
3.32575 1 
3.58123 1 
-0.169225 1 
-0.031862 1 
0.394964 1 
-0.54288 1 
3.09398 1 
3.86041 1 
ZONE T="boundary2"
4 -0.817451 
4 -0.634901 
4 -0.328212 
4 -0.271346 
4 -0.222481 
4 -0.173617 
4 0.422569 
4 0.832159 
4 -0.0606746 
4 -0.117146 
4 0.102692 
4 0.17073 
4 0.0210085 
4 -1 
4 0.299696 
4 0.238769 
4 -0.385079 
4 -0.447535 
4 0.574417 
4 0.664318 
4 0.360624 
4 -0.50999 
4 1 
4 0.484515 
4 -0.726176 
4 -0.299779 
4 -0.198049 
4 -0.0889102 
4 -0.0198331 
4 -0.908725 
4 0.269232 
4 0.204749 
4 -0.145381 
4 -0.356646 
4 -0.416307 
4 0.619367 
4 0.33016 
4 0.91608 
4 0.748239 
4 -0.572446 
4 0.136711 
4 0.06185 
4 -0.478762 
4 -0.246913 
4 0.453542 
4 0.391597 
4 0.529466 
ZONE T="boundary3"
-3.46796 -1 
-0.00794613 -1 
-0.201882 -1 
4 -1 
1.25637 -1 
0.061308 -1 
-0.0729078 -1 
-0.423605 -1 
-0.265894 -1 
1.90214 -1 
1.14326 -1 
-3.15418 -1 
3.17648 -1 
-1.85553 -1 
2.66927 -1 
3.70554 -1 
-2.85053 -1 
-2.54688 -1 
-2.29063 -1 
-0.344749 -1 
-0.13787 -1 
0.130562 -1 
0.199338 -1 
-0.692979 -1 
0.268114 -1 
0.3991 -1 
-0.80569 -1 
-0.580267 -1 
0.566707 -1 
0.482903 -1 
0.677165 -1 
-0.501936 -1 
-4 -1 
0.787624 -1 
0.908886 -1 
1.03015 -1 
1.46138 -1 
1.35888 -1 
1.59934 -1 
1.73731 -1 
-0.945879 -1 
-3.73398 -1 
-1.3085 -1 
-1.40055 -1 
2.06698 -1 
-1.67668 -1 
3.44101 -1 
-2.03438 -1 
2.36812 -1 
2.92287 -1 
-1.19729 -1 
-1.08607 -1 
-1.49259 -1 
-3.31107 -1 
-3.00235 -1 
-0.040427 -1 
-0.233888 -1 
3.85277 -1 
-2.69871 -1 
-2.41876 -1 
-0.384177 -1 
-0.169876 -1 
-0.105389 -1 
0.16495 -1 
0.095935 -1 
-0.305322 -1 
0.0266809 -1 
0.233726 -1 
0.333607 -1 
0.524805 -1 
0.621936 -1 
-0.541102 -1 
-0.749334 -1 
0.441002 -1 
-0.636623 -1 
0.732394 -1 
0.969518 -1 
0.848255 -1 
1.19982 -1 
1.0867 -1 
1.41013 -1 
1.66833 -1 
-3.86699 -1 
-3.60097 -1 
-1.35453 -1 
1.81973 -1 
1.98456 -1 
3.57327 -1 
-1.76611 -1 
2.21755 -1 
-2.16251 -1 
-1.94496 -1 
2.79607 -1 
2.51869 -1 
-0.875785 -1 
-1.14168 -1 
-1.58464 -1 
-3.38951 -1 
-0.46277 -1 
-3.07826 -1 
-3.23262 -1 
-2.92644 -1 
3.04968 -1 
3.30874 -1 
1.30762 -1 
-1.01597 -1 
-1.25289 -1 
1.53036 -1 
-1.44657 -1 
ZONE T="boundary4"
-0.458056 0.195364 
-0.503209 0.129961 
-0.519012 0.101386 
0.598663 0.372779 
-0.534152 0.0689833 
-0.541296 0.0510605 
-0.565098 -0.04212 
-0.225666 0.393117 
0.51741 0.450887 
0.503766 0.459253 
0.317772 0.516113 
0.33911 0.51338 
-0.562011 -0.0231774 
0.545074 0.430827 
0.608999 0.356075 
0.617998 0.338478 
0.398758 0.501427 
-0.0419745 0.474299 
-0.0655342 0.466339 
